Imagen,Homogeneidad,Contraste,Energia,Correlacion,Disimilaridad,ASM,Clase
bubbly_0038.jpg,0.076652926,935.0673091,0.009144083,0.891758049,20.50693507,8.40E-05,0
bubbly_0038.jpg,0.236809162,605.4595522,0.167470451,0.94503403,15.11498123,0.028046635,0
bubbly_0038.jpg,0.135799713,546.2069518,0.045734079,0.938187219,15.55388119,0.002096143,0
bubbly_0038.jpg,0.237064701,605.6621344,0.167488789,0.94455342,15.12073428,0.028052777,0
bubbly_0042.jpg,0.048669497,1142.846382,0.007188083,0.816023758,25.18139348,5.18E-05,0
bubbly_0042.jpg,0.216709025,562.8913759,0.167190256,0.935339288,16.06782164,0.027952827,0
bubbly_0042.jpg,0.077204378,389.0820961,0.00959836,0.928360953,14.75352747,9.26E-05,0
bubbly_0042.jpg,0.216761438,562.0740835,0.167212443,0.93542537,16.05734371,0.027960246,0
bubbly_0043.jpg,0.181867482,176.4008451,0.019162158,0.93526984,8.041594105,0.000369062,0
bubbly_0043.jpg,0.341543858,148.0212447,0.173417226,0.981911987,6.140985343,0.030073957,0
bubbly_0043.jpg,0.285347038,226.0420775,0.130441229,0.967925629,7.612717366,0.017018904,0
bubbly_0043.jpg,0.339429142,151.7339246,0.173424695,0.981440558,6.244773803,0.030076547,0
bubbly_0044.jpg,0.157320712,235.160318,0.018776901,0.89914884,9.959061015,0.000355227,0
bubbly_0044.jpg,0.303533886,231.0456044,0.165575256,0.980801949,7.867999498,0.02741576,0
bubbly_0044.jpg,0.17839508,246.4681224,0.020280917,0.901304415,8.854268432,0.000416103,0
bubbly_0044.jpg,0.302938873,231.1790459,0.165595356,0.980801159,7.870749496,0.027422415,0
bubbly_0045.jpg,0.140623886,167.0499288,0.019867412,0.877206171,9.017873404,0.000396838,0
bubbly_0045.jpg,0.289156905,176.7805945,0.167802808,0.986178308,7.133249419,0.028158166,0
bubbly_0045.jpg,0.144477456,310.0619266,0.020583206,0.840756779,9.65238457,0.000426676,0
bubbly_0045.jpg,0.289494075,176.4367329,0.167818773,0.986207318,7.118111476,0.028163525,0
bubbly_0046.jpg,0.071993922,756.5996599,0.008218917,0.914418583,18.9624225,6.78E-05,0
bubbly_0046.jpg,0.248445229,487.8396409,0.180788395,0.956096634,13.68112025,0.032684871,0
bubbly_0046.jpg,0.264572219,409.2034415,0.191757462,0.962383947,12.51263141,0.036774813,0
bubbly_0046.jpg,0.24853103,476.1454854,0.180803024,0.956574346,13.56590958,0.03269016,0
bubbly_0048.jpg,0.136931775,301.0745528,0.013409658,0.92453857,10.92653416,0.000180605,0
bubbly_0048.jpg,0.309354262,175.8709787,0.193058211,0.9760703,7.681315648,0.037271705,0
bubbly_0048.jpg,0.346447982,240.2723657,0.24814781,0.970806349,8.483942429,0.06157878,0
bubbly_0048.jpg,0.303435158,185.513477,0.193052904,0.974970508,7.941541231,0.037269654,0
bubbly_0049.jpg,0.115929533,635.2898393,0.011489766,0.881955987,16.33387832,0.000132547,0
bubbly_0049.jpg,0.273268456,454.0747386,0.171239315,0.95066279,12.52918802,0.029323156,0
bubbly_0049.jpg,0.2282015,398.2284754,0.10625792,0.948706125,12.30081728,0.011293854,0
bubbly_0049.jpg,0.272549884,465.4587589,0.171252816,0.950118776,12.71708009,0.029327781,0
bubbly_0050.jpg,0.105546514,726.9366253,0.010033412,0.875633571,17.26907944,0.000101048,0
bubbly_0050.jpg,0.282658908,428.0935026,0.192887156,0.952097264,12.23744238,0.037205666,0
bubbly_0050.jpg,0.321041777,618.4164933,0.248055522,0.93831808,13.90178283,0.061532962,0
bubbly_0050.jpg,0.286837412,395.4845826,0.192912526,0.955578022,11.6928137,0.037215455,0
bubbly_0051.jpg,0.071046042,903.4046535,0.008140861,0.843273243,20.98351806,6.64E-05,0
bubbly_0051.jpg,0.262950374,488.1391798,0.19326128,0.95194691,13.62988226,0.03735014,0
bubbly_0051.jpg,0.303129126,759.4574878,0.248655045,0.934216453,16.17709014,0.061830735,0
bubbly_0051.jpg,0.260872291,497.4992779,0.193262378,0.950100528,13.88431694,0.037350564,0
bubbly_0052.jpg,0.277147045,119.5439179,0.038103008,0.958373123,5.904093539,0.001455569,0
bubbly_0052.jpg,0.46214356,96.48342854,0.196847214,0.986033866,4.286132907,0.03874935,0
bubbly_0052.jpg,0.46784976,131.7285213,0.253568008,0.98308749,4.575847881,0.064298402,0
bubbly_0052.jpg,0.461997279,100.1514529,0.197041638,0.98528908,4.319399059,0.038825951,0
